RegAddr_SoftReset 	0x00
RegAddr_SysStatus0 	0x01
RegAddr_SysStatus1 	0x02
RegAddr_FuncEn0  	0x03
RegAddr_FuncEn1  	0x04
RegAddr_ZXConfig 	0x07
RegAddr_SagTh    	0x08
RegAddr_PhaseLossTh 	0x09
RegAddr_INWarnTh0 	0x0A
RegAddr_INWarnTh1 	0x0B
RegAddr_THDNUTh  	0x0C
RegAddr_THDNITh  	0x0D
RegAddr_DMACtrl  	0x0E
RegAddr_LastSPIData 	0x0F

	Low Power Mode Register 
RegAddr_DetectCtrl 	0x10
RegAddr_DetectTh1 	0x11
RegAddr_DetectTh2 	0x12
RegAddr_DetectTh3 	0x13
RegAddr_PMOffsetA 	0x14
RegAddr_PMOffsetB 	0x15
RegAddr_PMOffsetC 	0x16
RegAddr_PMPGA    	0x17
RegAddr_PMIrmsA  	0x18
RegAddr_PMIrmsB  	0x19
RegAddr_PMIrmsC  	0x1A
RegAddr_PMConfig 	0x1B
RegAddr_PMAvgSamples 	0x1C
RegAddr_PMIrmsLSB 	0x1D
	
 	ConfigStart 	0x30
RegAddr_PLconstH 	0x31
RegAddr_PLconstL 	0x32
RegAddr_MMode0  	0x33
RegAddr_MMode1  	0x34
RegAddr_PStartTh 	0x35
RegAddr_QStartTh 	0x36
RegAddr_SStartTh 	0x37
RegAddr_PPhaseTh	0x38
RegAddr_QPhaseTh 	0x39
RegAddr_SPhaseTh 	0x3A
RegAddr_CS0     	0x3B

	Calibration Registers 
RegAddr_CalStart 	0x40
RegAddr_PoffsetA 	0x41
RegAddr_QoffsetA 	0x42
RegAddr_POffsetB 	0x43
RegAddr_QOffsetB 	0x44
RegAddr_POffsetC 	0x45
RegAddr_QOffsetC	0x46
RegAddr_GainA 	0x47
RegAddr_PhiA 	0x48
RegAddr_GainB 	0x49
RegAddr_PhiB 	0x4A
RegAddr_GainC 	0x4B
RegAddr_PhiC 	0x4C
RegAddr_CS1  	0x4D

	Fundamental/Harmonic Energy Calibration regis ters 
RegAddr_HarmStart 	0x50
RegAddr_POffsetAF 	0x51
RegAddr_POffsetBF 	0x52
RegAddr_POffsetCF 	0x53
RegAddr_PGainAF 	0x54
RegAddr_PGainBF 	0x55
RegAddr_PGainCF 	0x56
RegAddr_CS2   	0x57

	Measurement Calibration 
RegAddr_AdjStart 	0x60
RegAddr_UgainA 	0x61
RegAddr_IgainA 	0x62
RegAddr_UoffsetA 	0x63
RegAddr_IoffsetA 	0x64
RegAddr_UgainB 	0x65
RegAddr_IgainB 	0x66
RegAddr_UoffsetB 	0x67
RegAddr_IoffsetB 	0x68
RegAddr_UgainC 	0x69
RegAddr_IgainC 	0x6A
RegAddr_UoffsetC 	0x6B
RegAddr_IoffsetC 	0x6C
RegAddr_IgainN 	0x6D
RegAddr_IoffsetN 	0x6E
RegAddr_CS3  	0x6F

	Energy Register 
RegAddr_APenergyT 	0x80
RegAddr_APenergyA 	0x81
RegAddr_APenergyB 	0x82
RegAddr_APenergyC 	0x83
RegAddr_ANenergyT 	0x84
RegAddr_ANenergyA 	0x85
RegAddr_ANenergyB 	0x86
RegAddr_ANenergyC 	0x87
RegAddr_RPenergyT 	0x88
RegAddr_RPenergyA 	0x89
RegAddr_RPenergyB 	0x8A
RegAddr_RPenergyC 	0x8B
RegAddr_RNenergyT 	0x8C
RegAddr_RNenergyA 	0x8D
RegAddr_RNenergyB 	0x8E
RegAddr_RNenergyC 	0x8F
RegAddr_SAenergyT 	0x90
RegAddr_SenergyA 	0x91
RegAddr_SenergyB 	0x92
RegAddr_SenergyC 	0x93
RegAddr_SVenergyT 	0x94
RegAddr_EnStatus0 	0x95
RegAddr_EnStatus1 	0x96
RegAddr_SVmeanT 	0x98
RegAddr_SVmeanTLSB 	0x99

	Fundamental / Harmonic Energy Register 
